condition,review,rating,usefulCount
Smoking Cessation,"""I smoked for 32 years and tried different times and products to help me stop but always failed.  My doctor and I agreed for me to try the Nicoderm CQ patch and it&#039;s really helping me. I have no urges to smoke and am now on Day 8.  The only thing I found out is that I have red swollen itchy skin where the patches were worn. Need to talk to the doctor but office is closed on the weekends.  I&#039;m thinking I could be allergic to them but don&#039;t want to stop them because they are working for me""",8.0,50
Bipolar Disorde,"""I started 5mg of olanzapine last night. I have not slept or felt calm in a couple months. I have dealt with Bipolar 1 and ADHD for many years. I went to my Psychiatrist and was told that for my condition I should not be on things like Celexa that I was taking at 40mg at night. Those serotonin medications can hype me up especially at night. So the only other medicine I take is Inderal LA 120mg for tremors I have from a neurological condition since childhood. I slept great last night for the first time in a long time. I also feel much more at ease in gathering my thoughts and focus. I just hope it continues and I do my part in staying stable too.""",9.0,9
Birth Control,"""I got this inserted 3 years ago, my arm hurt for one day with no bruising, and then I literally forgot about it for the remaining time. No periods ever, and never once pregnant. No weight gain. Most convenient form of birth control ever used, but it may just be the way my body has reacted. Got it reinserted for the next 3 years and got some bruising, but not too bad.""",9.0,104
Allergic Rhinitis,"""First of all I&#039;m not and never have been a smoker. Have COPD due to chronic bronchitis, I developed asthma after 40. I&#039;ve been taking this product for five yrs and the illness due to weather has decreased dramatically I had previously suffered from pneumonia due to worsening bronchitis at least twice a yr. I average once every three years now it is due to consistently taking this year round.""",10.0,21
Major Depressive Disorde,"""I just want to say that after taking a lot of other anti-depressant meds, this is THE ONE! Besides only having 1 side-effect (diarrhea), that went away after 2 wks, it&#039;s really changed my life!!! i recommend this to anyone who has tried other meds that have not worked""",10.0,117
Birth Control,"""This is absolutely the best birth control I have ever used. I switched from Nexplanon to Ortho Evra, and if you are thinking of doing the same, I highly recommend it.  Let me list the reasons why:
1. Weight loss. I have lost 5lbs in one month, without even trying!  I&#039;m back to the weight I was before I started birth control...but my breasts are still birth control sized.
2. Sex drive. Mine had been non-existent since I went on Nexplanon in September. Now, stronger than ever. That might be a downside though, now that I think about it.
3. Skin- no acne!
4. Predictable cycle. (On Nexplanon, I never knew when I was going to menstruate, which was about 90% of the time). Now, a non issue.
5. Don&#039;t have to remember everyday.""",10.0,115
"Constipation, Chronic","""I been on it for two months. Started with the 145mg worked right of. Then the body got used to it didn&#039;t go for 2 weeks. Now on 290mg. For 2 weeks. Alright at times. But give time too see how does. The only next step I can see is surgery. But gastrointestinal doctor says no surgery too fix. 30 years off constipation. What more can I take. Only 39. Now have other medical problem from straining do much over the years.""",6.0,49
Migraine,"""Zomig gets rid of my migraine but it knocks me out. I take one dose and then sleep for 3 hours. Afterward the headache is gone but my joints ache and my muscles are very tender to the touch.""",7.0,21
ADHD,"""I have been on Vyvanse for almost 2 years and have had no major symptoms. I had dry mouth, but that pretty much subsided. I did lose about 30lbs, but I&#039;m 5&#039;9&quot; and was weighing about 240lbs, so it wasn&#039;t as bad thing. I have ADHD, I started this medicine when I was almost 40. I&#039;m almost 42 and really have had a great experience. My son is on it for ADD, and my daughter for ADHD. She was just tested and accepted into the gifted program and he is 2 years younger and has had significant improvements to his grades and behavior. I would recommend.""",10.0,65
Depression,"""I have been taking 50mg of Pristiq for about 5 weeks now, and just started taking 100 mg a couple days ago. I am 31 yrs old, but have been on antidepressants for 10 yrs. I&#039;ve tried many SSRI&#039;s (Lexapro for several yrs) and never felt much better at all. I remained depressed and began to try to accept that this is just what my life would be. Finally, about 2 months ago my Drs office began doing genetic testing which can guide them on what medicines your body will respond best to. So Pristiq it was. I think my mood has lifted somewhat. I&#039;m really hoping it will improve even more as studies show full benefits take 6-8 weeks. """,8.0,93
Major Depressive Disorde,"""I&#039;ve been on Viibryd (40mg) for a few months now, for major depression/anxiety. Before that, I took Prozac, but I felt like it had stopped working. The Viibryd is working well for me. I have more good days. I don&#039;t feel sedated, just more positive and functional. As far as side effects, I get an upset stomach if I don&#039;t eat before I take it. I took it right before bed one time and had a really vivid nightmare, so I try to take it early in the day. When I do miss a dose, I feel withdrawal more than I did with Prozac. Overall, it&#039;s effective for me, but I have to be more careful to avoid side effects.""",7.0,48
4</span> users found this comment helpful.,"""Took this pill for 1.) Acne and 2.) Birth Control.  I have had a side effect that very few people had which was hair loss in the scalp.  Big amounts of hair would come out when I would shower.  I realized this happened to me with a previous birth control as well but want to note for others as a precaution.  I got extremely bloated on this medication.  I have a flat tummy and it looked like I was pregnant which was painful and annoying.  This also gave me a very backed up system which I never get.  I got extremely nauseous, very moody, heartburn, anxiety and some depression.  The only pro was that my breasts grew a cup size.  Can&#039;t complain about that! I&#039;ve been off of this pill for three days and all of these symptoms are gone.""",2.0,4
Birth Control,"""I went on this last year for PMDD, like severe PMS, and did fine the first 6 months. I&#039;m not sure why, but suddenly my periods are 2 weeks long instead of one. I&#039;m also having the same severity, if not more, of cramps that I had before I started. I think the issue was that I might have already had estrogen dominance, and the lack of ovulation made it even worse. (No ovulation means no progesterone to help your periods be lighter.) Also I have zero sex drive. Seriously, doing dishes has been more appealing lately. It has made my mood issues improve, though. I don&#039;t feel nearly as depressed as I did before taking it.""",5.0,24
Irritable Bowel Syndrome,"""Before starting Linzess at age 21 (~1 yr ago), I was going to the bathroom about once every 3 weeks. Eventually, laxatives were necessary but still I was going maybe 3 times a month. I was experiencing severe stomach pains that left me in bed for hours at a time daily, eventually I ended up in the ER.

Within 24 hours of starting Linzess, I went to the bathroom. Yes, the first few days it was diarrhea. Within the first week, I was having regular bowel movements and have been having about 1/day since then. MY STOMACH PAIN HAS DISAPPEARED (that&#039;s huge!!!!) 

Gas? Yes, all the time. Diarrhea? Only if I take it too late in the day. Increased hunger? Yes, obviously, because my stomach is empty. Worth it? 5 billion percent.""",10.0,128
Barrett's Esophagus,"""Stopped the symptoms (heartburn and reflux) immediately and completely. No side effects. For me, a wonder pill.""",10.0,20
Pain,"""After breaking my neck and back in a car accident I was given 2 40 mg Oxycontin and 6 5mg oxycodone IR per day. Over a period of 12 months the effectiveness decreased. Introduced to Opana, they worked 10x better without having the euphoric feeling (major for me). Due to cost, I switched from Opana ER 2x40mg. per day to the generic oxymorphone 3x30mg. per day. Although generic does not last as long as the Opana brand, taking 3 X per day (every 8 hours) works very well. Rarely do I have the level of pain I used to while taking other medicines. If I could take every 6 I do not think I would need to take as many IR pills as I do.""",8.0,14
Weight Loss,"""Began taking Qsymia 3.75 in June 2013. Its one year later I have lost 80 pounds. At the low dose I experience few side effects while still suppressing my urge to overeat. I&#039;ve used My Fitness Pal to track my 1200-1500 calories a day menus. No sugar cravings any more. For the last few weeks I have diminished my dosage to 3 times a week as I&#039;ve approached my maintenance weight goal. The weight loss has been easy. Now to figure out how Q can help me maintain the loss.""",10.0,61
Hepatitis C,"""I am 10 weeks into the 12 week treatment with interferon, ribavarin, and Sovaldi. This is my 2nd time around on treatment. My first was with interferon, ribavirin and Victrelis.  I relapsed  the first time and was very very ill during the entire 7 months. This treatment with Sovaldi is a cake walk. The side effects are so minimal compared to last time. I am ill, weak, have insomnia, bone pain and fever but I can do this for 12 weeks if it means a cure. I am so thankful for Sovaldi. I was very hesitant to start treatment again but I am so glad I did. My insurance covered some and Sovaldi covered the difference up to $5 per month. Thank you.""",10.0,36
Abnormal Uterine Bleeding,"""I have been using the Depo for 2 1/2 years now. I noticed during the first year I would spot lightly when I usually got my period and my cramps went away. After the first year my period pretty much went away for the most part. However, when I do occasionally get spotting, it lasts for about 2 weeks and it comes at random times. In the past year I can recall it happening three times. For me it still beats getting reglar periods and it has taken away my horrible cramps so I deal with it. The pill always made me sick no matter what brand I tried so that is another plus with the Depo.  But everyone is different and everyone will react differently.""",7.0,41
Birth Control,"""I got the Nexplanon in August, 2 months after having my 2nd son. I had my period September but for 3 weeks! I hated that part. It is now October and I haven&#039;t had my period. I am going to take a pregnancy test, just in case. But I hope it&#039;s just the birth control causing me not to have started yet.
Other than that I love this form of birth control and will definitely get it again. I did have hives and still get them but its nothing manageable and not enough to give it a bad rap.""",10.0,5
Abnormal Uterine Bleeding,"""I thought the shot would be easy due to the fact of taking it every three months compared to the pill taking it everyday, but the shot does not work for my body! I have been bleeding for over a month now. I am going back to the pill.""",7.0,92
Bipolar Disorde,"""I have taken Lamotrigine for years. It has been effective but I have gradually had more side effects.  These reviews have been very helpful as I thought some of my problems were created by the sun, humidity or allergy.  Over time and sporadically I have had more nausea, chills, a lot of itching. If I scratch the itch at all the skin turns bright red and spreads along with itching.  The itching is horrible.  3 days after 50mg increase I have all the above side effects plus sweats, chills and flu like symptoms. Have extremely strange dreams and nightmares.  I didn&#039;t have these side effects when I first started the medicine. They started gradually and I think it is time to look for a different medicine.""",8.0,16
Birth Control,"""Yes it is effective as a birth control contraceptive. The side effects I have had loss of sex drive, moodiness, weight gain and an irregular menstrual cycle. I stopped taking that pack of pills the end of January 2014 as of now I have yet to have a menstrual cycle. Something is right.""",4.0,16
Panic Disorde,"""I was born into the middle of WWII in England and have Post Traumatic Stress Disorder. Also was sexually assaulted at the age of 4 yrs. I came over here to the States at the age of 13 and it all went downhill from there. I have major depression and have been on Prozac for many, many years. I have also been taking Klonopin for as many years and it has given me some kind of normal life. I used to get the tremors so bad that the ambulance people thought it was a grand mal seizure attack. I still get these attacks once in a while but with the help of Klonopin I can actually calm myself back to a normal state of being. I wouldn&#039;t call it a wonder medicine but it certainly helps me.""",10.0,73
High Blood Pressure,"""I took Lopressor for 24 years it worked very well in lowering my blood pressure and even calming my anxiety but lately it doesn&#039;t work on me very well as before, I guess the doctor will change it.""",10.0,55
Anxiety,"""Many people are unreasonably scared of Klonopin&#039;s bad withdrawal dramas.
Well... It is true. It is a painful process to get away from Klonopin once you stepped into its comfortable zone, but I want to say I would rather feel relaxed and comfortable than struggling with unnecessary anxiety caused by Neurotransmitter unbalances. 
This medication truly gave me a freedom from fear and agitation and get back to my life.""",10.0,261
Autism,"""My stepson is now 13 years old and has been on 5mg dosage of Abilify for about 2-3 years.  We discovered it when we saw a commercial for a study involving autistic children with aggressive tendencies.  Since then, his behavior has improved 100% at both home and school.  The only side effect, as mentioned by others, is weight gain.  To this I say, take a more active role in your kid&#039;s diet and force him/her to exercise.  This will offset the side-effects while still reaping the benefits.""",10.0,141
Upper Respiratory Tract Infection,"""Best antibiotic I&#039;ve used. I&#039;ve never had a problem. And it always get rid of the problem.""",10.0,14
Upper Respiratory Tract Infection,"""I was prescribed this to treat my sinus infection. It&#039;s been almost two days now and while I feel slightly better, the nausea and upset stomach is too much for me. I have eaten both yogurt or rice before taking it and I still get very sick. It is also making everything I eat seem extremely salty. Even when I breathe, I taste salt. I&#039;ve called my doctor and they&#039;re changing my antibiotic to something else. Apparently this one is making my potassium levels rise too high.""",3.0,22
Seizures,"""My 8 year old was put on Keppra for complex partial seizures.  Except for some initial tiredness in the first two weeks she has had no side effects.  She takes 250mg twice a day.  She even won her age group in a 1mile race two weeks ago and her competitive soccer team won their soccer tournament this weekend thanks to some of the goals she scored.  I have noticed no difference in her school work or personality.  I am so thankful for this medicine that my daughter can continue her active life seizure free.""",10.0,77
Surgical Prophylaxis,"""Within a few days after minor knee surgery I have had serious loose stools several times a day for four months.""",1.0,4
Rosacea,"""I developed Rosacea when I was pregnant with my first child (at age 39).  I never had skin issues before, even as a teenager.  I finally went to the doctor and was diagnosed with Papulopustular Rosacea (acne plus redness).  My doctor prescribed Monodox and it has worked WONDERS!  Within a week, almost all the pimples/bumps were gone. GONE!  I only hope that once I finish up the medication (60 days), it won&#039;t all come back.  The downside is the cost.  Thankfully, my doctor gave me a discount card from the manufacturer that allows me to buy it for $10 per month.  Otherwise, it was $225 for 60 day supply.""",10.0,28
Emergency Contraception,"""Plan B definitely helps with not getting pregnant but the emotional level is TERRIBLE. I react super bad to hormones so this has been a nightmare.""",3.0,26
ADHD,"""I was diagnosed with ADD when I was seven, I think. I had behavior issues in my second grade class and I drove my teacher nuts with my constant distractions and my lack of focus. Little things like small talk and excessive noises triggered my symptoms and I was put on Ritalin LA when I was eight. Ritalin was awful for me. I didn&#039;t sleep very well at all. I had periods of insomnia and when I would sleep it was very prolonged in hours of sleep I was getting. Finally, after a couple of years suffering with this Ritalin I talked with my doctor about trying a new medicine called Focalin XR when I was 13 and I am almost 18 now. Focalin XR has been really wonderful for me. My focus is better. It does cause diarrhea, and mood swings.""",8.0,51
Depression,"""I was on the sertraline, for 3 years. After developing a strange phobia with severe anxiety, suicidal thoughts, and major depression, this medication probably saved my life. However, it only brought me back halfway. I still was depressed and still suffered from anxiety attacks, just not as much. After a couple of years, I believed it stopped working, even after increasing the dose, so I stopped taking it.""",6.0,25
Abnormal Uterine Bleeding,"""I chose Mirena because I was having heavy periods with severe cramping along with terrible acne/pms symptoms. I am 27 years old and have never had children. I was very nervous before the procedure because of reading many terrible reviews. First off placement was the most painful experience thus far. Not even exaggerating.  I&#039;ve got a very high pain tolerance and I thought I was going to pass out. I left the office in some serious pain/cramping and it continued for about a day. I spotted for about a week along with minor cramps. It&#039;s now been 2 months and I have not had any spotting/cramping or periods! My mood is better and for the first time in 10 years I haven&#039;t had any acne breakouts. Also zero weight gain! I love Mirena, best choice ever.""",9.0,112
Anxiety,"""It makes any impossible situation more possible, it controls violence rage temper anger towards others. Post Traumatic Stress Disorder, panic attacks and keeps you calm.  The best!""",10.0,134
Constipation,"""I have been constipated for about a week and tried eating everything possible that will help me go even Mexican food and still nothing. I tried Miralax and couldn&#039;t go so I tried chocolate laxatives and nothing and tried Dulcolax suppositories. I&#039;m so beyond nauseated which is better than having cramps but I still feel constipated even though I went a little. At least the Dulcolax helped me go within minutes and I&#039;m glad I was on the toilet when it happened.""",6.0,6
Pain,"""Ibuprofen was my default pain relief early in my experience with Ankylosing Spondylitis. It reduced inflammation and made the pain, discomfort and stiffness more manageable. 

I did experience some side effects (constipation, followed by diarrhea due to the blockage, stomach pains etc., but the pain management helped to make it bearable. I managed on it for over 10 years before my fusion made the pain worse.""",6.0,13
mance Anxiety,"""Went to the doctor to help with a clonidine taper. Clonidine was prescribed for methadone withdrawal along with Valium. Got off the methadone pretty easy considering how messed up I was. Now stuck with physical clonidine addiction after being on it for 3 months. 
Was prescribed propranolol for day time control of rebound high blood pressure and withdrawal anxiety and so far it is working amazingly. I feel like I could talk in front of 100,000 people and not flinch in fear. Because propranolol has its own withdrawal if you are on it too long just like clonidine but at least this time I am aware of the possibility rather than blindly taking some medication.""",10.0,38
Night Terrors,"""I had been taking anti-anxiety medication for a very long time due to my severe anxiety and panic attack disorder I have and the last resort after trying a few others was to take klonopin 1 mg 4 times a day.. After starting taking the medication, I didn&#039;t notice any bad side effects, but then I slowly started to have nightmares and night terrors, even when I just took small cat naps! It was absolutely horrible, I couldn&#039;t stand it but I didn&#039;t think about Klonopin being the cause until after a while it stopped working for my anxiety and I went back to Xanax which started to work better for me again and all of a sudden, my night terrors have disappeared and no longer afraid to fall asleep! They&#039;ve gone away ever since I stopped Klonopin.""",5.0,9
Smoking Cessation,"""Have smoked for 12 years,  I was smoking a 40 pack (Australia) in less than 24 hrs.

I went on Champix and after 2 weeks I was a non smoker and no side effects. 

Normally I&#039;d be clawing at the walls of my house if I didn&#039;t have a cigarette for a hour, now my cigarette addiction is comparable to eating chocolate, I&#039;d like some but I can go without.

I also have ADHD which makes smoking a lot more pleasurable and a lot more addictive.""",10.0,1
Weight Loss,"""I was signed up to have the gastric sleeve procedure done but cancelled a few days prior wanting to try again to lose the weight on my own. I was 245 pounds March 28th and am 5&#039;5. I started Phentermine shortly after that. I am currently 209lbs and it is July 22nd. Very happy with the results. Glad I didn&#039;t have the operation even if I would be skinner now the risks were just too scary for me to go through with it. I would love to get down to 160lbs! I am going to keep chugging along.""",10.0,57
Benign Prostatic Hyperplasia,"""After 15 years of Prostate Problems many Biopsies. PSA 139 had acute Urinary Retention and Catherised (not getting Catheter in, bleeding. Put on Duodart slight Improvement, nocturnal from ten times to about 4 to 5 times, very dizzy.""",6.0,42
ibromyalgia,"""I have taken various doses of trazodone for Fibromyalgia and insomnia. I can fall asleep but wake up 3 hrs later. I take 
50-100mg and fall back to sleep. Finally a more restful sleep. Ahhh!""",9.0,44
Acne,"""I&#039;ve been on this medication for just over 2 months now, taking 40mg a day. When I started on a low dose, the first 3 weeks I experienced severe dry skin, lips, and especially my nose and under my eyes even. The first 5 weeks my skin broke out worse. And from the beginning I started getting severe back pain. Now in week 9, my skin has settled down and is a tiny bit better, but all my blackheads have disappeared. My skin is still drier than usual, but it&#039;s actually improved, and my lips are fine as long as I apply vaseline 2-3 times a day. The only significant side effect I still have is my back and bone/joint pain. So far I&#039;m very happy with what I&#039;ve achieved (the blackheads) and expect things to keep improving.""",8.0,23
Acne,"""*Sebaceous Hyperplasia*, The one change I am most thrilled about is it got rid of all of my sebaceous hyperplasia (enlarged oil glands) bumps within the first week! I started getting these hard bumps about 5 years ago and 26 days ago, I had about 40 of them around my hairline and some on my chin, forehead, and cheek and my chest was starting to get super bumpy, today (day 26 on Accutane) I don&#039;t have a single bump.
*Acne* As far as my acne, I am definitely having a flare up and it feels like all of my blackheads are being pushed out and so my skin feels very bumpy, but as of about 5 days ago I don&#039;t have to blot anymore and I can go 3 days without washing my hair.""",7.0,8
Major Depressive Disorde,"""I was diagnosed with major depressive disorder in 2006. My depression comes in cycles, but I take this medication every day. I was on Zoloft for about 3 years off and on and gained about 30 pounds, was tired all the time, and had some discouraging sexual side effects to top everything off. I did my research and discovered Wellbutrin, which other people said was more stimulating and had no sexual side effects. I asked my doctor if I could switch and started tapering off Zoloft while starting 150 mgs of Wellbutrin. My doctor upped the dose to 300 mgs and I had never been happier! It has drastically changed my life. Lost weight and can get up in the morning without being a total grouch. I only gave it a 9 because of the cost.""",9.0,159
Rheumatoid Arthritis,"""I was diagnosed a month ago with rheumatoid arthritis. My doctor started me on Plaquenil 2 weeks ago. 300 mg 2x a day. I had to stop taking it after a week because it upset my stomach causing vomiting, nausea, and extreme diarrhea. My doctor tried lowering my dose to 150 mg 1x a day to no avail. I&#039;m hoping that she can put me on something that will work better as I have been in extreme pain for over a year. I am 30 years old.""",1.0,111
Bipolar Disorde,"""I took this, started at 60 mg. Caused severe restlessness and lack of sleep. Felt like I had tachycardia going on but didn&#039;t. switched down to 30 mg without doctors consent and don&#039;t get restless or have the feeling in my chest as bad. It&#039;s been a little over a week wish I had better idea on if it&#039;s working or not.""",5.0,52
Constipation,"""I took the recommended dose at 9:30 am after horrible constipation cramps and bloating. Nothing but stomach gurgling occured that entire day. I had to take another dose that evening around 7 pm. Still...nothing by bedtime. I didn&#039;t get relief until around 9 am the next morning and from that point on I was afraid to move or leave the toilet. And it took about a full 10 hours of off and on emergency bathroom trips (those uh oh! Get up and run! kinds) to get it all out.""",8.0,40
ADHD,"""My son has been on this patch for a year.  We started at 10mg, and are moving to 15 mg now.  It has (by far) been the best ADHD medicine we&#039;ve tried. We have had pretty minimal skin irritation issues overall.  Sometimes the backing of the patch is hard to peel, but 15 seconds in the freezer solves that problem.  By far our favorite ADHD medicine.""",10.0,25
Cough,"""It stopped my cough, but I had severe diarrhea.  I figured it out after it happened to me twice.""",2.0,37
Anxiety and Stress,"""Prozac has literally saved my life not once but twice! The first was after the birth of my son I was on 20mg I was struggling with obsessive compulsive disorder, depression and severe anxiety. Prozac along with therapy made it able for me to live a normal life for almost 5 years. I just recently had a horrible bought with anxiety. I am finally coming out of that nightmare. I had a lot of life stressors that brought on the anxiety and caused the break, as much as I tried I couldn&#039;t come out of it so my Dr. increased my dose to 40mg. I have been on the 40mg for exactly a week today and I am so excited and cautious to say when I woke up this morning my heart wasn&#039;t beating out of my chest and I have been able to enjoy my day!""",10.0,173
Underactive Thyroid,"""The first two days of taking the medicine, I experienced body aches all over, headaches, thus, I took aspirin in the evening to try to alleviate the pain.  The third day and beyond, I felt/feel more energized, no headaches, no backaches, mental clarity, and just relieved.  I say you have to give the medicine time to kick in and get in your system. I am thankful.""",10.0,77
Anxiety,"""This medication gave me the worst experience of my life. It made me sleepy, yes. But at the same time, It sped up my mental discomfort, and it made my muscles jump. Similar to restless leg syndrome, but throughout my entire body. It was so bad they had to reverse it with Benadryl to alleviate the symptoms, And finally they gave me a mixture of Valium and Demerol to put me in a twilight state until it passed. If you have ANY medication allergies, even mild. I would strongly advise against this medication. 
""",1.0,26
Weight Loss,"""My weight loss experience with phentermine was successful.  Early on, my doctor would refill with the agreement I would stop by every three - four weeks for a blood pressure check.  Since my blood pressure was never an issue, and everything else was good, I continued  on with the daily time-release capsule, 15 mg.  Took a few days to get used to, but after that all was good.  In six months I lost 15 pounds and am grateful it was slow and steady.  I&#039;m 5&#039;5&#039;, weigh 137 pounds, and I feel good.  I exercise, eat lots of vegetables, try to keep carbs to a minimum and I&#039;m mindful of portion sizes.  Phentermine worked for me.  I highly recommend!""",10.0,22
Erectile Dysfunction,"""I&#039;ve been taking 10mg Cialis daily for the last six months. I can&#039;t say enough about how much it has helped with erectile dysfunction. Erections are firm and last long enough for two orgasms. I&#039;ve discovered something else while taking Cialis. I have been dealing with symptoms of depression for several years. I&#039;ve tried several of the anti depressant medications but had terrible side effects. Not to mention, it made the performance issue worse. Since taking Cialis I&#039;ve noticed my depression has all but disappeared. I did some research and discovered that some studies have reported that Cialis has helped with depression in men. I&#039;ve got my life back and feel great.""",10.0,92
Panic Disorde,"""A miracle pill for the worst of panic attacks. Nothing compares to the effectiveness of Xanax. """,10.0,137
Acne,"""Unreal difference.  My side effects are minimum and I&#039;m on 60 mg a day.  This is one stop shopping.  I had terrible acne--cysts everywhere.  I&#039;m 3 months in and it&#039;s almost completely gone.""",10.0,78
Bowel Preparation,"""I have been doing colonoscopy prep for 20 years. This was the foulest tasting stuff I&#039;ve ever encountered.""",10.0,22
Depression,"""I&#039;m on 200 mg of Zoloft and it has changed my life!""",10.0,129
High Blood Pressure,"""I took 50mg of Cozaar, 1 x daily for 5 days, had bad dreams, lightheaded and dizzy, and started having nosebleeds. I stopped taking it and I&#039;m calling doctor today.""",1.0,124
Migraine,"""Great medicine--I tried tons of other treatments and was down to my last option, I was at 300 MG and it started to work with few side effects besides increased appetite and a little more tired at first-a lifesaver!""",9.0,71
"Hypogonadism, Male","""Working well so far (on second injection). Less hassle than regular injections or gels and I don&#039;t have to worry about transferring it to my girlfriend.""",9.0,21
Major Depressive Disorde,"""I&#039;ve been on every antidepressant known to mankind and they were awful to me. Either the side effects were too bad or it turned me into a complete zombie to the point work was out of the question, and then my dr said we would try one more called Prozac and the reason he had not prescribed it before was because it took 6-8 weeks to reach full effect as where the others took less then half that time. I started out taking 10mg because I have always been very sensitive to antidepressants and their side effects. For about the first 2 or 3 weeks I experience light anxiety... Then finally the 6 weeks passed and still nothing, but then finally about 8 weeks into the mediation, I feel like Santa Clause on steroids! It has saved my life! """,10.0,70
TSH Suppression,"""It works well for TSH supression""",10.0,32
Depression,"""I was on Fetzima for a couple of months but my depression was still really bad. The doctor kept increasing my dose with no signs of improvement. Eventually, my blood pressure and pulse was so high that I had to come off.""",2.0,66
Bowel Preparation,"""I was happy to find these reviews.  I read through them and got some idea of what to expect.  This is my 3rd colonoscopy but the first time with this prep.  It is by far much easier than the others!  I cannot chug so I have to drink it in small amounts.  I chilled the prep, used a straw, and I bit into an orange wedge after every sip.  I don&#039;t even know what the prep tastes like  because of biting into the orange after every drink.  Went down fast!""",8.0,23
